image,shape,mesh-resolution,scaling,max-edge-factor,outer-edge-factor,offset-inner-factor,offset-outer-factor,prior-range-prob,prior-range-lower,prior-sigma-prob,prior-sigma-upper,ssim,mse,mean_residual,sigma
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,5.0,0.1,1.0,0.4235,3323528.159198877,-3.5787742082688947,486.7398792347917
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,5.0,0.1,2.0,0.5114,2241698.0213831537,-0.28922158472703924,231.8592428742633
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,5.0,0.2,1.0,0.8762,314332.6915905811,0.39797979472105555,158.08183411429368
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,5.0,0.2,2.0,0.6329,1170630.40114706,-0.7133998805012902,255.25595894040958
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,5.0,0.2,3.0,0.8432,370067.14794700977,0.5809680704789206,146.8029195535467
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,1.0,0.1,1.0,0.3929,4565996.999998308,-1.491415489415257,390.3335357678781
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,1.0,0.1,2.0,0.3631,5422676.920348083,-2.6371892270889816,475.43116195571315
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,1.0,0.1,3.0,0.3472,6100133.065621263,-3.5874724655364796,535.423892880314
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,1.0,0.2,1.0,0.3082,8745932.590727327,-13.071759080281193,1198.5477881063846
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,1.0,0.2,2.0,0.3676,5228881.005375813,-2.5597653615770675,464.80322297425647
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,1.0,0.2,3.0,0.3876,4697463.354033904,-1.6395649287520984,403.63803128848616
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,2.0,0.1,1.0,0.297,9687537.159250023,-19.765587424266652,1752.1865663331082
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,2.0,0.1,3.0,0.5223,2129579.5196036426,-0.13303337709454177,216.25443510628273
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,2.0,0.2,1.0,0.374,4923585.595651139,-2.6802741473942597,459.2009544411281
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,2.0,0.2,2.0,0.4256,3649860.6627917024,-1.129767863291034,334.37630725605794
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,2.0,0.2,3.0,0.4226,3784330.6619623182,-1.0311625154214812,332.06272077875354
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,5.0,0.1,1.0,0.4452,3010484.6307272227,-1.9482212566306396,371.8285562951388
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,5.0,0.1,2.0,0.5273,2036904.394779524,-0.3201194229649884,231.08218949037575
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,5.0,0.1,3.0,0.5227,2101935.352055746,-0.25803345977946207,227.10159158164882
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,5.0,0.2,1.0,0.4463,3069441.2728589214,-1.4649407711580968,340.2531972707987
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,5.0,0.2,2.0,0.5133,2149139.556034679,-0.7197645554748887,267.5689164717771
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.2,5.0,0.2,3.0,0.4863,2591491.2153322427,-0.408448439910694,248.85004667794828
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,1.0,0.1,1.0,0.3388,6316869.900589419,-5.49099288238906,644.9157123782708
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,1.0,0.1,2.0,0.2891,10429022.305835187,-24.040246597141774,2142.1522731575824
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,1.0,0.1,3.0,0.3991,4038143.8224535864,-1.8712095196078626,416.2701919162155
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,1.0,0.2,1.0,0.3133,8215739.368267717,-11.247888394118371,1058.0809744585972
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,1.0,0.2,2.0,0.3902,4260249.000367149,-2.0763693763519013,434.4423580896596
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,1.0,0.2,3.0,0.4804,2855195.9763816926,-0.7047516502455901,319.67526757058295
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,2.0,0.1,1.0,0.3806,4543625.606806735,-2.2847521430249764,454.3819217089102
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,2.0,0.1,2.0,0.4992,2402767.7592560686,-0.4983624155798789,262.5256723710922
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,2.0,0.1,3.0,0.5688,1554150.289834572,-1.0817078393431634,292.346514503597
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,2.0,0.2,1.0,0.4465,2976264.646393398,-1.4422961527912743,347.95970164403377
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,2.0,0.2,2.0,0.4393,3195356.580936616,-1.2851101105047722,350.55900483458527
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,2.0,0.2,3.0,0.4477,3116287.730224618,-1.1122312427190586,340.7915954491534
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,5.0,0.1,2.0,0.4778,2604983.225506825,-0.8755331250945241,301.7046710057648
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,5.0,0.1,3.0,0.5297,1989322.4535286191,-0.4521151387453863,246.42128460853863
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,5.0,0.2,1.0,0.5323,1883880.7444602137,-0.8872316958455222,282.0263727463382
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,5.0,0.2,2.0,0.9375,507764.09648670163,1.0366558199083662,160.4499756722375
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.1,5.0,0.2,3.0,0.5636,1686343.2543638232,-0.1611291661000733,214.55468343985766
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,1.0,0.1,2.0,0.3468,5863093.114702871,-4.368449282944383,575.3615265318634
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,1.0,0.1,3.0,0.4552,3145201.6482410906,-0.8971952618753931,329.31687613214365
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,1.0,0.2,2.0,0.3599,5245485.269729596,-3.356890591953091,515.4886673441321
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,1.0,0.2,3.0,0.4107,3774506.3639453887,-1.659269940363824,395.4570455186018
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,2.0,0.1,1.0,0.3616,5157375.641574231,-3.723943306918471,525.3446279547543
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,2.0,0.1,2.0,0.3959,4145629.4858572283,-1.8732229650781103,423.55571310843095
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,2.0,0.1,3.0,0.4695,2823397.4038863196,-0.7920479412188193,301.91868504525354
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,2.0,0.2,2.0,0.4704,2844283.470056025,-0.7422920647049766,299.7747012999423
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,2.0,0.2,3.0,0.4919,2490883.12119704,-0.5823006490733582,272.19029809989064
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,5.0,0.1,2.0,0.4887,2416665.9770542905,-0.895713508644762,296.4304264506234
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,5.0,0.1,3.0,0.9835,134840.50354901093,0.6241015185965952,145.25006468239536
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,5.0,0.2,1.0,0.534,1864472.1780714663,-0.9030085527745811,282.89101704526627
combined_cube.fits[0],none,20,log,8,1.2,0.5,1.0,0.2,5.0,0.2,2.0,0.5905,1460162.3593555025,-0.13357521616284723,207.83053349532884
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,1.0,0.1,1.0,0.3454,5944561.810180727,-4.453888211272506,581.3831945018358
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,1.0,0.1,2.0,0.3622,5154739.728315022,-3.2348700147893723,507.8830675908611
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,1.0,0.1,3.0,0.4778,2726205.2803404764,-0.6693598859734561,288.3701926996722
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,1.0,0.2,1.0,0.3061,8898113.421588942,-13.198742441351218,1207.6836399768017
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,1.0,0.2,2.0,0.3753,4680813.69613578,-2.623977971684685,469.7478385266259
combined_cube.fits[0],none,20,log,8,1.2,0.5,2.0,0.1,1.0,0.2,3.0,0.4219,3599198.1819352773,-1.4265136152058133,380.415017666031
